name,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cabo Verde,CPV,2,2,4,4,6,6,6,6,6,6,6,6,8,8,8,8,8,8,10,10,10,10,12,12,12,12,12,12,12,14,14,14,14,14,14,16,16,18,18,18,20,20,22
Cambodia,KHM,0,0,0,0,0,0,0,2,2,2,2,4,4,4,8,8,10,12,12,16,18,22,26,26,28,32,36,38,38,42,44,46,48,50,52,56,58,58,60,62,66,74,78
Cameroon,CMR,0,0,0,0,0,0,0,0,2,2,4,6,6,6,8,8,8,8,8,10,12,16,16,18,18,22,22,24,26,26,28,28,34,36,38,40,40,42,42,44,46,46,54
Canada,CAN,2,4,6,8,10,14,22,28,32,36,38,40,44,46,52,60,64,70,76,82,84,88,92,106,114,124,134,140,144,150,152,160,166,172,176,178,182,188,196,200,204,212,224
Canary Island,SPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,6,8,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Cayman Islands,CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Central African Rep.,CAF,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,8,10,10,12,16,16,18,20,22,24,26,26,28,30,36,38,42,46,50,50,52,52,56,56,58,58,60,66
Chad,TCD,2,2,2,2,2,4,4,4,8,8,8,10,10,12,12,14,14,16,18,20,20,24,24,24,24,24,26,32,36,42,44,44,50,50,50,50,50,52,52,56,60,62,66
Chile,CHL,0,0,2,2,6,6,10,16,16,18,20,24,30,34,34,38,38,46,46,48,54,62,72,74,78,84,86,88,92,92,94,100,104,106,110,118,120,130,130,134,134,138,142
"China, P.R.: Hong Kong",HKG,4,6,14,22,22,28,32,36,38,44,44,46,52,66,68,68,68,72,72,74,74,74,74,78,78,80,80,80,86,88,90,90,90,90,90,90,90,94,96,96,96,100,100
"China, P.R.: Macao",MAC,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12
