name,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New Caledonia,NCL,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12
New Zealand,NZL,4,6,6,8,10,14,20,24,32,34,34,36,42,42,44,44,46,50,52,54,58,60,62,64,68,72,74,76,76,76,76,76,78,82,82,86,88,92,94,94,100,108,110
Nicaragua,NIC,2,2,4,4,4,4,4,4,6,6,8,10,10,12,14,16,20,22,24,28,36,40,46,46,50,54,54,58,64,70,78,80,82,84,88,90,92,96,100,100,104,104,108
Niger,NER,2,2,2,2,2,2,2,2,6,6,8,8,8,8,10,10,10,12,14,18,20,24,26,28,28,30,32,34,36,40,44,50,52,56,58,62,66,72,74,78,84,86,90
Nigeria,NGA,0,2,2,2,2,4,4,4,8,8,8,8,10,10,12,12,12,12,16,24,42,48,52,54,64,68,74,80,80,84,86,96,100,102,104,106,110,114,118,122,128,132,138
"North Macedonia, Republic of ",MKD,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,6,8,10,14,18,22,24,28,28,28,28,28,30,32,34,38,40,42,42,42,42,44,44
Northern Mariana Islands,MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,6,6,6,8,8,8,8,8
Norway,NOR,0,0,0,0,0,0,0,0,0,0,4,4,6,8,8,10,10,10,10,10,12,14,14,14,14,16,16,16,18,18,18,20,20,20,20,20,20,20,20,22,24,24,26
Oman,OMN,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,6,6,8,8,8,10,12,12,12,12,14,16,18,22,24,26,30,30
Pakistan,PAK,4,8,10,16,18,18,20,20,24,26,28,34,40,48,54,60,66,76,82,94,96,106,118,130,134,150,168,188,194,200,214,216,226,230,236,250,266,276,280,300,312,324,332
"Palau, Rep. of",PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,6,6,6,6,6,8,8
Panama,PAN,0,0,0,2,4,4,6,6,8,8,8,10,12,12,12,14,14,14,16,20,22,24,28,30,36,38,44,46,50,52,60,64,68,70,72,76,78,80,82,82,88,92,94
Papua New Guinea,PNG,2,2,2,6,6,6,6,6,6,6,6,8,10,14,14,14,16,22,22,24,24,24,26,30,32,34,42,44,48,50,50,52,56,58,62,68,70,70,70,74,84,84,84
Paraguay,PRY,0,0,2,6,6,6,6,6,8,8,10,10,12,12,12,16,16,20,22,24,26,26,30,30,32,34,34,36,40,46,48,50,56,62,66,72,74,74,78,86,86,90,90
Peru,PER,2,6,12,20,22,26,30,38,42,44,54,56,60,62,66,68,68,74,78,84,88,96,106,112,120,120,124,128,130,142,148,158,164,170,178,184,186,192,192,202,210,226,230
Philippines,PHL,16,40,66,78,86,96,110,122,138,162,180,198,212,232,266,292,302,310,322,354,374,392,414,434,458,466,504,532,572,618,644,704,740,766,790,822,842,864,880,898,912,938,956
"Poland, Rep. of",POL,2,2,4,8,8,8,8,10,10,10,12,12,14,14,16,16,16,20,24,28,30,34,40,40,42,50,52,56,60,66,72,74,82,86,88,92,96,98,102,104,108,114,120
Portugal,PRT,0,2,2,8,8,10,12,12,12,14,14,16,16,16,16,16,20,24,24,24,26,30,32,38,42,46,50,50,54,54,60,60,60,66,70,72,74,78,84,86,86,86,92
Qatar,QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Romania,ROU,0,0,0,2,4,4,4,4,4,4,4,6,6,8,14,16,18,22,28,34,44,50,58,62,74,92,106,118,124,130,134,134,136,138,144,146,150,152,158,160,162,164,164
Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,6,18,34,46,54,60,76,86,124,144,166,174,188,206,212,216,216,216,232,238,254,258,260,264,270,274,278,288,288,298,304
Rwanda,RWA,0,0,0,0,2,2,2,2,4,6,6,6,6,6,6,6,8,8,8,10,10,14,16,20,20,20,22,26,28,28,32,34,36,36,36,38,42,46,54,58,68,70,76
Saint Barthélemy,BLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Saint Helena,SHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Saint Martin (French Part),MAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Samoa,WSM,0,0,0,4,4,4,4,4,4,6,8,10,10,10,10,10,10,10,10,10,10,12,12,12,14,16,16,16,16,16,16,16,18,18,18,20,20,20,22,22,22,22,22
"São Tomé and Príncipe, Dem. Rep. of",STP,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
Saudi Arabia,SAU,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,10,12,16,16,16,16,18,22,24,26,30,30,34,40,42,42,48,50,50,50
Senegal,SEN,2,2,2,4,4,6,6,6,8,8,8,8,8,10,12,12,12,12,14,18,20,20,24,26,28,30,30,32,34,36,40,44,46,48,50,50,52,52,54,56,58,58,60
Serbia and Montenegro,SCG,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,14,14,16,16,16,22,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
"Serbia, Rep. of",SRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,18,18,24,28,38,38,42,44,46,48,50,52,52
Seychelles,SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,6,8,8,8,8,8,8,8,8,8
Sierra Leone,SLE,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,6,6,6,6,6,8,10,10,12,12,14,18,20,20,22,22,24,24,26,26,30,30,30,32
"Sint Maarten, Kingdom of the Netherlands",SXM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Slovak Rep.,SVK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,8,10,12,14,18,22,26,28,28,28,34,34,36,38,38,38,38,40,40,42,44,46,46
"Slovenia, Rep. of",SVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,8,8,8,8,8,10,10,14,14,14,14,14,14,16,18,18
Solomon Islands,SLB,0,0,2,2,2,4,6,6,6,6,6,6,8,10,10,10,10,12,14,14,14,14,16,20,20,20,20,20,20,22,26,28,30,32,34,40,40,40,42,42,44,44,44
Somalia,SOM,2,4,4,6,6,6,6,10,12,16,16,16,16,16,20,22,24,28,28,30,36,38,40,44,48,54,64,68,72,74,80,84,88,94,98,108,110,110,114,120,128,130,132
South Africa,ZAF,2,6,6,8,12,12,14,16,20,20,24,26,26,30,34,38,46,48,52,62,72,84,96,100,104,104,108,114,120,128,130,136,140,142,144,146,152,162,162,174,178,186,202
"South Sudan, Rep. of",SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,12,12,16,20,20,20,24,24,24,30,32,36,38
Soviet Union (former),SUN,0,4,8,14,20,24,24,32,34,40,50,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
Spain,ESP,2,4,8,12,18,24,24,28,28,34,40,42,42,42,50,54,58,62,66,70,80,82,84,88,94,98,104,112,112,116,120,122,126,130,132,136,138,142,150,166,168,174,178
Sri Lanka,LKA,2,6,12,14,22,24,26,28,30,32,36,38,42,48,54,56,58,60,64,66,72,76,78,80,82,84,86,92,100,106,110,118,124,130,144,148,152,158,164,176,182,192,202
St. Kitts and Nevis,KNA,0,0,0,0,2,2,2,4,4,6,8,8,8,8,8,10,10,10,12,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18
St. Lucia,LCA,2,2,2,4,4,4,6,8,10,10,10,10,10,10,12,12,14,14,14,16,16,16,16,16,18,18,18,20,20,20,26,26,26,28,28,28,30,30,30,30,30,32,34
St. Vincent and the Grenadines,VCT,2,2,2,2,2,2,4,8,8,8,8,8,10,10,10,10,10,10,10,12,12,12,14,14,16,18,18,18,18,18,22,24,24,26,26,26,30,30,30,30,30,32,32
Sudan,SDN,2,2,2,8,8,8,8,10,12,12,14,16,16,18,20,20,28,30,34,44,44,46,50,52,52,56,62,64,64,66,70,74,76,78,80,86,88,90,96,100,102,106,110
Suriname,SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,6,8
Sweden,SWE,0,0,0,0,0,2,2,2,2,2,6,6,6,6,6,6,6,6,6,8,8,8,10,10,10,14,14,14,14,14,14,14,14,16,16,16,16,16,18,18,20,22,22
Switzerland,CHE,0,0,2,8,10,12,16,20,22,22,30,30,30,36,38,38,38,40,42,48,50,52,58,62,62,66,70,76,76,78,82,84,88,92,94,94,94,94,96,98,100,106,106
Syrian Arab Rep.,SYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,6,8,8,10,10,12,12,12,12,12,12,12,16,16,16,16,18,20,24,26
Taiwan Province of China,TWN,0,2,2,4,6,6,12,14,14,16,20,22,24,24,34,34,38,42,48,48,52,62,66,68,78,88,94,98,108,110,114,114,120,126,130,136,144,148,150,152,154,158,160
"Tajikistan, Rep. of",TJK,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,8,10,12,18,22,24,30,38,44,46,52,56,62,66,68,72,74,78,80,84,90,92,96,98,100,102,106,106
"Tanzania, United Rep. of",TZA,0,0,2,2,4,4,6,6,10,12,18,18,18,22,26,30,32,38,42,42,44,48,50,54,56,58,64,64,72,78,78,86,88,88,92,96,102,104,106,116,124,130,132
Thailand,THA,2,6,6,8,12,14,16,18,20,22,24,32,40,52,66,70,74,80,80,94,104,116,128,136,148,160,166,176,188,190,194,202,206,212,226,230,238,250,250,256,270,282,304
"Timor-Leste, Dem. Rep. of",TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,6,8,14,14,14,14,14,14,14,14,14,16,16,16,16,18,20,20
Togo,TGO,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,10,10,10,12,14,14,14,14,14,14,14,16,18,20,22,26,26,26,26,26,26,26,28,28,28,30,30,32
Tokelau,TKL,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Tonga,TON,0,0,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,8,12,12,12,14,14,14,16,16,16,16,16,16,16,18,18,18,20,22,28,28,30,30,32,32,32
Trinidad and Tobago,TTO,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,6,6,6,6,6,6,6,6,10,12,12,12,12,12,14,14,14,14,14,14,14,14,16,16,16,16,18
Tunisia,TUN,0,0,2,2,2,2,4,4,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,16,16,18,18,18,18,18,18,18,18,20,24,24,26,30,32
"Türkiye, Rep. of",TUR,4,6,6,6,8,10,10,12,16,16,20,24,24,26,30,36,38,38,44,44,52,62,66,68,82,92,96,104,106,114,116,118,120,122,122,126,126,128,130,136,146,152,158
Turkmenistan,TKM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Turks and Caicos Islands,TCA,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14
Tuvalu,TUV,0,0,0,0,2,2,2,4,4,4,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,12,12,12,12,12,14,16,16
Uganda,UGA,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,6,10,12,16,22,30,34,38,40,44,48,52,52,56,60,64,66,66,66,70,72,74,90,102,108,118
Ukraine,UKR,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,8,10,14,16,16,24,26,26,28,28,32,36,40,44,46,48,48,54,56,56,56,60,62,64,64,70,72,72
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
United Kingdom,GBR,0,2,2,4,6,6,8,10,10,12,26,30,30,34,38,40,42,48,56,62,74,78,88,90,92,100,100,108,114,120,124,124,134,144,148,152,152,154,158,164,170,172,182
United States,USA,14,22,48,66,94,124,136,154,198,232,274,344,402,458,486,520,548,614,678,722,782,834,892,936,976,1008,1064,1110,1152,1186,1216,1262,1312,1368,1406,1464,1516,1564,1602,1642,1688,1774,1824
United States Virgin Islands,VIR,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,6,8,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16
Uruguay,URY,0,0,0,0,0,0,2,2,2,2,2,4,6,8,8,8,8,10,12,16,22,24,28,30,32,34,34,40,40,42,44,44,44,44,44,50,52,54,56,62,66,66,68
"Uzbekistan, Rep. of",UZB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,10,12
Vanuatu,VUT,0,4,4,4,4,6,6,8,14,14,14,14,18,20,20,20,20,20,22,24,24,28,30,30,32,32,32,32,32,34,34,38,38,38,40,42,42,44,44,44,46,46,46
"Venezuela, Rep. Bolivariana de",VEN,0,2,2,2,2,4,4,8,14,14,14,14,14,16,20,20,24,26,26,32,36,36,38,42,46,54,56,56,58,60,64,70,72,72,72,74,76,76,80,82,84,88,104
Vietnam,VNM,6,6,8,14,20,24,28,34,38,44,52,66,76,84,90,94,106,114,122,132,154,168,180,188,200,220,242,254,274,286,300,310,318,338,344,354,370,388,402,418,440,456,472
Wallis and Futuna Islands,WLF,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4
West Bank and Gaza,PSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,6,10,10,14,14,14,14,14,16,16,18
"Yemen, Rep. of",YEM,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,8,8,12,14,14,20,28,30,30,36,40,46,48,50,54,54,54,56,56,60,64,66,70,76,86,90,96
Zambia,ZMB,0,2,2,4,4,4,4,4,4,6,8,8,8,8,8,10,10,10,12,12,14,16,16,20,22,26,26,32,34,36,40,42,42,44,46,46,46,46,46,50,56,58,60
Zimbabwe,ZWE,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,8,8,10,14,14,18,18,18,18,26,26,26,30,32,32,36,40,42,44,48,48,52,52,56,60
